word / phrase,translation,comment
You must be joking!,"შენ, ალბათ, მეკაიფები!",
Put everything aside.,გადადე ყველაფერი.,
A very good idea came into my mind.,კარგი იდეა მომივიდა.,
get caught [out],გამოჭერა (ტყუილში),
set sb. up,გაუჩალიჩო ვინმეს,
Don't mess with me!,ჩემთან არაფერი შეგეშალოს!,
Do you have any siblings?,და ან ძმა გყავს?,
If I were in your shoes,შენს ადგილას რომ ვიყო,
What's the reason for this?,რა არის ამის მიზეზი?,
accident,უბედური შემთხვევა,
psychiatry,ფსიქიატრია,
psychology,ფსიქოლოგია,
archaeology,არქეოლოგია,
Let's put an end to these people's suffering.,მოდი დავასრულოთ ამ ხალხის ტანჯვა.,
automaticity,"ავტომატურობა, ავტომატიკა",
I get an impression that you are crazy.,"ისეთი შთაბეჭდილება მრჩება, რომ გიჟი ხარ.",
This wall needs to be painted.,ამ კედელს უნდა შეღებვა.,
This wall needs painting.,ამ კედელს უნდა შეღებვა.,
This wall wants painting.,ამ კედელს უნდა შეღებვა.,
I graduated in Marketing.,მე დავამთავრე მარკეტინგი.,
I graduated from this university.,მე დავამთავრე ეს უნივერსიტეტი.,
Will you show me around New York?,მაჩვენებ ნიუ იორკს?,
Which answer shall I circle?,რომელი პასუხი შემოვხაზო?,
You haven't mentioned this to me.,შენ არ გიხსენებია ეს ჩემთვის.,
A Polka-dot dress would suit you.,კოპლებიანი კაბა მოგიხდებოდა.,
It's always fun to be with you.,შენთან ყოველთვის სახალისოა ყოფნა.,
You are always fun to be with.,შენთან ყოველთვის სახალისოა ყოფნა.,
I'm in a fantastic mood today.,დღეს არაჩვეულებრივ განწყობაზე ვარ.,
It's unwise to put all your eggs in one basket.,არაბრძნულია შენი ყველა კვერცხის ჩადება ერთ კალათაში.,
Call us during working hours.,დაგვირეკეთ სამუშაო საათებში.,
so that,"იმისათვის, რომ",
uncertainty,გაურკვევლობა,
misty,ბურუსიანი,
foggy,ნისლიანი,
bad lighting,ცუდი განათება,
poor lighting,ცუდი განათება,
go for a picnic,წახვიდე პიკნიკზე,
go on a picnic,წახვიდე პიკნიკზე,
Don't go on at me in front of people!,ხალხში ნუ მაკრიტიკებ!,
Let's fix a meeting.,ჩავნიშნოთ შეხვედრა.,
Let's arrange a meeting.,ჩავნიშნოთ შეხვედრა.,ფორმალური
arranged marriage,გარიგებით ქორწინება,
Why are you being silent?,რატომ ხარ ჩუმად?,
The chief accountant,მთავარი ბუღალტერი,
Would you mind moving your car?,შეგიძლიათ გაწიოთ თქვენი მანქანა?,
I'd appreciate it if you could move your car.,შეგიძლიათ გაწიოთ თქვენი მანქანა?,
commence,დაწყება,
hail,სეტყვა,
expand my business,გავაფართოო ბიზნესი,
grow my business,გავაფართოო ბიზნესი,
She has Italian origin.,ის არის იტალიელი წარმომავლობით.,
This word originated in Italy.,ეს სიტყვა იტალიური წარმომავლობისაა.,
Is this a genuine Picasso?,ეს ნამდვილი პიკასოა?,
Can you elaborate on this a little bit more?,შეგიძლია უფრო ჩაშალო თემა?,
appoint sb.,დანიშვნა (თანამდებობაზე),
collocations,სიტყვათა შეთანხმებები,
What shall I congratulate on?,რა მოგილოცო?,
It's pointless to buy this book.,აზრი არ აქვს ამ წიგნის ყიდვას.,
ask directions,იკითხო მიმართულებები (ქუჩაში),
rock a child,დაარწიო ბავშვი,
ear lobe,ყურის ბიბილო,
recipe,რეცეპტი,
chips,ჩიპსები,AmE
crisps,ჩიპსები,BrE
restroom,ტუალეტი,AmE
lavatory,ტუალეტი,AmE
loo,ტუალეტი,BrE
ultimate goal,საბოლოო მიზანი,
justify,გაამართლო,
Make me this soup!,გამიკეთე სუპი.,
Buy me this ice cream!,მიყიდე ეს ნაყინი.,
do a test/exercise,გააკეთო ტესტი/სავარჯიშო,
make an exception,დაუშვა გამონაკლისი,
make a mistake,დაუშვა შეცდომა,
Make me happy.,გამაბედნიერე,
do the cleaning,დაალაგო სახლი,
make sb. do sth.,გააკეთებინო ვინმეს რამე (იძულებით),
force sb. to do sth.,გააკეთებინო ვინმეს რამე (იძულებით),
have sb. do sth.,გააკეთებინო ვინმეს რამე (არა იძულებით),კოზატივი
get sb. to do sth.,გააკეთებინო ვინმეს რამე (არა იძულებით),კოზატივი
I had my car washed.,მანქანა გავარეცხინე.,
I got my car washed.,მანქანა გავარეცხინე.,
legendarily good,ლეგენდარულად კარგი,
do harm,ზიანის მიყენება,
beat around the bush,მიკიბ-მოკიბული საუბარი,
beat about the bush,მიკიბ-მოკიბული საუბარი,
get your act together,"დაორგანიზდი, მობილიზდი",
sell like hot cakes,გაიყიდოს ძალიან მაგრად,
on cloud nine,მეცხრე ცაზე (ბედნიერი),
be up in arms,"გაბრაზებული, ბუზღუნის ხასიათზე",
angry with sb.,გაბრაზებული ვინმეზე,
angry about sth.,გაბრაზებული რამეზე,
angry at sb.,გაბრაზებული ვინმეზე,
angry at sth.,გაბრაზებული რამეზე,
She is said to be pregnant.,"მასზე ამბობენ, რომ ორსულად არის.",
She is thought to be...,"მასზე ფიქრობენ, რომ...",
She is considered to be...,მას მიიჩნევენ...,
This car is said to be washed.,ამ მანქანაზე ამბობენ რომ ირეცხება (ყოველდღე).,
She is said to have bought sth.,"მასზე ამბობენ, რომ რაღაცა იყიდა.",
It sounds interesting/good.,საინტერესოდ/კარგად ჟღერს.,
It looks good.,კარგად გამოიყურება.,
It seems interesting.,საინტერესო ჩანს.,
It smells bad.,ცუდი სუნი აქვს.,
unemployment,უმუშევრობა,
We are running out of resources.,გვიმთავრდება რესურსები.,
dismiss sb.,გაუშვა ვინმე სამსახურიდან,
Don't jump to conclusions!,არ გამოიტანო ნაადრევი დასკვნები.,
She will be made to do sth.,"მას აიძულებენ, რომ გააკეთოს რამე.",
rehearse,რეპეტიციის გავლა,
rehearsal,რეპეტიცია,
expose,"გამოაშკარავება, გამოდგმა",
get into shape,ჩადგე ფორმაში,
out of shape,"ფორმიდან ამოვარდნილი, უფორმო",
cry over spilt milk,"ინერვიულო იმაზე, რასაც ვერ შეცვლი, რაც უკვე მოხდა",
jot down,ჩაიწერო რამე,
take down,ჩაიწერო რამე,
write down,ჩაიწერო რამე,
note down,ჩაიწერო რამე,
turn 30,გახდე 30 წლის,
Hasn't it rained for a long time?,დიდი ხანია არ უწვიმია?,
Haven't you called me for a long time?,დიდი ხანია არ დაგირეკავს ჩემთვის?,
Suit yourself!,რაც გინდა ის ქენი!,
surgeon,ქირურგი,
sonata,სონატა,
"It's not a secret, that I love Dea.","საიდუმლო არ არის, რომ მე დეა მიყვარს.",
Honest to god I don't like anything.,"გულწრფელი რომ ვიყო ღმერთთან, არ მომწონს არაფერი.",
parking space,მანქანის დასაყენებელი ადგილი (პარკინგი),
parking lot,მანქანის დასაყენებელი ადგილი (პარკინგი),
These people were taken hostage 2 hours ago.,ეს ხალხი მძევლად აიყვანეს 2 საათის წინ.,
at breakfast,საუზმის დროს,
for breakfast,საუზმეზე,
I'm pooped,დაღლილი ვარ,
ferry,ბორანი,
We were cut off.,გავითიშეთ (ტელეფონზე საუბრისას).,
cup,თასი,
He suggested that Giorgi go there.,"მან შემოგვთავაზა, რომ გიორგი წასულიყო იქ.",
"lie (lied, lied)",მოტყუება,
"lie (lay, lain)",დაწოლა,
clove of garlic,ერთი კბილი ნიორი,
cream soup,კრემსუპი,
artichoke,არტიშოკი,
spring onions,მწვანე ხახვი,BrE
green onions,მწვანე ხახვი,AmE
sour cream,არაჟანი,
spicy,ცხარე,
hot,ცხარე,
chick,ნაშა,
eggplant,ბადრიჯანი,AmE
aubergine,ბადრიჯანი,BrE
sweet potato,ბატატი (ტკბილი კარტოფილი),
peel,გათალო რამე,
harp,არფა,
stamp collecting,საფოსტო მარკების შეგროვება,
gardening,მებაღეობა,
logging,ხეების ჩეხვა/ჭრა,
chin ups,მიზიდვები ღერძზე,
pull ups,მიზიდვები ღერძზე,
press ups,აზიდვები,
push ups,აზიდვები,
athletic,ათლეტური,
fit,კარგ ფიზიკურ ფორმაში ყოფნა,
martial art,საბრძოლო ხელოვნება,
do yoga,დაკავდე იოგით,
do sports,დაკავდე სპორტით,
stroke,"სისხლჩაქცევა, ინსლუტი",
backstroke,ზურგზე ცურვა,
how good a teacher are you?,რამდენად კარგი მასწავლებელი ხარ?,
famous for,ცნობილი,
Sorry about this.,ვწუხვარ ამაზე.,
Sorry for this.,ბოდიში ამისთვის.,
excited about sth.,აღელვებული რაღაცის გამო,
late for sth.,დააგვიანო რამეზე,
dissatisfied with sth.,უკმაყოფილო რამეზე,
responsible for sth.,პასუხისმგებელი რამეზე,
Laugh at me.,დამცინე.,
different from sth.,განსხვავებული რაღაცისგან,
similar to sth.,რაღაცის მსგავსი,
mad about sth.,გაბრაზებული რამეზე,
mad at sth.,გაბრაზებული რამეზე,
annoyed with sth.,გაღიზიანებული რამეზე,
interested in sth.,დაინტერესებული რამით,
be keen on sth.,გიყვარდეს რამე ან იყო რამის მუღამზე,
I'm not very keen on sushi.,დიდად არ ვარ სუშის მუღამზე.,
ask for sth.,თხოვო რამე,
Vote for me.,ხმა მომეცი.,
Wait for me.,დამელოდე.,
Arrest me for this.,დამაპატიმრე ამისთვის,
fine for sth.,დააჯარიმო რამისთვის,
Practice playing the piano.,ივარჯიშე პიანინოზე დაკვრაში.,
I'll never forget being with you here 7 years ago.,არასოდეს დავივიწყებ შენთან ერთად ყოფნას აქ 7 წლის წინ.,
I'll always remember being with you here 7 years ago.,ყოველთვის მემახსოვრება შენთან ერთად ყოფნა აქ 7 წლის წინ.,
Don't forget to call him!,არ დაგავიწყდეს დაურეკო მას!,
Remember to call him!,"გახსოვდეს, რომ დაურეკო მას!",
I regret not calling you yesterday.,"ვნანობ, რომ არ დაგირეკე გუშინ.",
I regret that I didn't call you yesterday.,"ვნანობ, რომ არ დაგირეკე გუშინ.",
We regret to tell you...,ვწუხვართ შეგატყობინოთ...,ფორმალურად
We're sorry to tell you...,ვწუხვართ შეგატყობინოთ...,არაფორმალურად
covering letter,სამოტივაციო წერილი,
clerk,ადმინისტრაციული მუშაკი,
post,"პოზიცია, თანამდებობა",
enclosed,"თანდართული, მიბმული (მეილზე)",
bookkeeping,ადმინისტრაციული აღრიცხვები,
duties,მოვალეობები,
responsibilities,მოვალეობები,
I'm committed to do sth.,"გადაწყვეტილი მაქვს, გავაკეთო რამე",
pursue,გაყვე რამეს/ვინმეს,
persuade,დაარწმუნო,
study,სწავლა,პროფესიის
learn,სწავლა,უნარის
it will enable sb. to do sth.,ეს შესაძლებლობას მისცემს ვინმეს რომ გააკეთოს რამე.,
proven,დადასტურებული,
tactfully,ტაქტიანად,
move mountains,მთები გადადგა,
An apple a day keeps the doctor away.,ყოველდღე ვაშლის ჭამა გაშორებს ექიმს.,
give it a try,სცადე,
I'm here on business.,საქმეზე ვარ.,
I'm here on holiday.,დასასვენებლად ვარ.,
run business,მართო ბიზნესი,
What shall we do next?,რა გავაკეთოთ შემდეგ?,
on purpose,გამიზნულად,
deliberately,გამიზნულად,
rise prices,ფასების აწევა,როცა არ ჩანს ვინ აწია
raise prices,ფასების აწევა,როცა ვინმემ აწია
These prices will rise.,ეს ფასები გაიზრდება.,
Keti raised these prices last year.,ქეთიმ აწია ეს ფასები გასულ წელს.,
go up,"გაზრდა, აწევა",
go down,"შემცირება, დაცემა",
drop,"შემცირება, დაცემა",
plummet,"მკვეთრად დაცემა, ვარდნა (ფასების)",
in the wind/frost/rain,ქარში/ყინვაში/წვიმაში,
I must learn English.,უნდა ვისწავლო ინგლისური!,must გამოიყენება პირველ პირში
footwear,ფეხსაცმელი,
Fill in the form.,შეავსე ფორმა,
Fill out the form.,შეავსე ფორმა,
inflate,გაბერვა,
inflation,ინფლაცია,
at this level,ამ დონეზე,
polish something,ლაკი წაუსვა რამეს,
jump into water,გადახტე წყალში,
jump in water,გადახტე წყალში,
scar,"იარა, შრამი, ნაიარევი",
Let's put pressure on this person.,მოდი ზეწოლა განვახორციელოთ ამ ადამიანზე.,
Which perfume are you wearing?,რომელი სუნამო გასხია?,
May all your dreams come true.,"დაე, ყველა შენი ოცნება ახდეს!",
at all,საერთოდ,
silk,აბრეშუმი,
You have a bad cough.,ცუდად ახველებ.,
tobacco,თამბაქო,
drown,დახრჩობა წყალში,
choke,"დახრჩობა, გაგუდვა",
feel like it,ამის მუღამზე,
general information,ზოგადი ინფორმაცია,
don't say a word,ხმა არ ამოიღო,
trench coat,პალტო,
Open this book on page 10.,გადაშალე ეს წიგნი მე-10 გვერდზე.,
What page should I open this book on?,რომელ გვერდზე გადავშალო ეს წიგნი?,
Hit me on the head with this book.,ჩამარტყი თავში ეს წიგნი.,
Dial my number.,აკრიფე ჩემი ნომერი.,
Who do you agree with in this room?,ვის ეთანხმები ამ ოთახში?,
turn a blind eye to sth.,რამეზე დახუჭო თვალი.,
You should not have been taking a shower when she came here.,"შენ შხაპის მიღების პროცესში არ უნდა ყოფილიყავი, როცა ის მოვიდა.",
lose 20 kilos,დაიკელი 20 კილო,
shed 20 kilos,დაიკელი 20 კილო,
pick up,"აიღო დაგდებული, დაკერო გოგო",
When did you last go fishing?,ბოლოს როდის წახვედი სათევზაოდ?,
juicy,წვნიანი,
rusty,ჟანგიანი,
monetary,მონეტარული,
intervention,ჩარევა,
at the market,მაღაზიაში,
on the market,ბაზარზე,
at 4 Lari,4 ლარად,
buy/sell for 4 Lari.,იყიდო/გაყიდო 4 ლარად.,
bargain,გარიგება,
At 4 Lari this book is a bargain.,4 ლარად ეს წიგნი ნაჩუქარია.,
You have dropped your wallet.,საფულე დაგივარდათ.,
I know it for sure.,უეჭველად ვიცი.,
life expectancy,სიცოცხლის ხანგრძლივობა (საშუალო),
at this speed,ამ სიჩქარით,
Put out the fire.,ჩააქრო ცეცხლი,
physician,ფიზიოლოგი ექიმი,
physicist,ფიზიკოსი,
psychiatrist,ფსიქიატრი,
courtesy,ზრდილობა,
stonewalling,თავის არიდება ლაპარაკით ან სიჩუმით,
in the face of sth.,რაღაცის წინაშე,
live up to sb's expectations,გაამართლო ვინმეს მოლოდინები,
exceed,გადააჭარბო,
a large number of chairs,დიდი რაოდენობით სკამი,თვლადი
a large amount of money,დიდი რაოდენობით ფული,უთვლადი
at sb's expense,ვიღაცის ხარჯზე,
the cabinet,მინისტრთა კაბინეტი,
cabinet,სამზარეულოს სათავსო,
The entire Tbilisi knows that.,მთელმა თბილისმა იცის ეგ.,
Health care.,ჯანდაცვა,
tantamount,ტოლფასი,
sentence to 10 years,10 წელი მიუსაჯო,
on one condition,ერთი პირობით,
in mysterious circumstances,უცნაურ გარემოებებში,
What's the score?,რა ანგარიშია?,
Who is winning/losing?,ვინ იგებს/აგებს?,
over 100 people,100-ზე მეტი ხალხი,
articulate,სიტყვებით გამოხატო სათქმელი,
conservation,"კონსერვაცია, ბუნებრივი რესურსების დაზოგვა.",
prospect,რაღაცის მოხდენის ალბათობა,
send sth climbing,"ზრდის რამეს, რამის დონეს",
superficial,"ზედაპირული, ზერელე",
at best,საუკეთესო შემთხვევაში,
at random,შემთხვევით,
randomly,შემთხვევით,
yummy,გემრიელი,
bottle up your emotions,ჩაახშო შენი ემოციები,
factory,ქარხანა,
plant,ქარხანა,
This is a classic example of his stupidity.,ეს არის კლასიკური მაგალითი მისი სულელობის.,
tax,"სახელმწიფო გადასახადი, დაბეგრო",
mental,გონებრივი,
subconscious,ქვეცნობიერი,
ambassador,ელჩი,
shopping center,სავაჭრო ცენტრი,
shopping mall,სავაჭრო ცენტრი,
fatigue,გადაღლილობა,
I can hardly keep my eyes open.,თვალებს ძლივს ვახელ.,
terrible,საშინელი,
horrible,საშინელი,
awful,საშინელი,
beak,ნისკარტი,
infect sb. with sth.,დააინფიცირო ვინმე რამით,
provide sb. with sth.,უზრუნველჰყო ვინმე რამით,
couch potato,"ზარმაცი ადამიანი, რომელიც სულ ტელევიზორს უყურებს.",
groom,"ნეფე, საქმრო",
bridegroom,"ნეფე, საქმრო",
bride,"პატარძალი, საცოლე",
cuttlery,დანა-ჩანგალი,
I had considerable difficulty in waking up early in the morning yesterday.,მე ძალიან გამიჭირდა გუშინ დილით ადრე ადგომა.,
hold sb. responsible,პასუხი მოსთხოვო ვინმეს,
regret bitterly,მწარედ ინანო,
in total chaos,სრულ ქაოსში,
in utter chaos,სრულ ქაოსში,
bend over,"გადაკუზვა, მოღუნვა",
prolong life,სიცოცხლის გახანგრძლივება,
make up your mind,გადაწყვეტილება მიიღო,
inhale/exhale,ჩაისუნთქო/ამოისუნთქო,
breath in/breath out,ჩაისუნთქო/ამოისუნთქო,
do sth. up,გაარემონტო რამე,
grant sb's request,დააკმაყოფილო ვინმეს მოთხოვნა,ფორმალური
grant sb a loan,მისცე ვინმეს სესხი,ფორმალური
I have yet to withdraw 200 Lari from my account.,მე ჯერ არ გამომიტანია 200 ლარი ჩემი ანგარიშიდან.,ფორმალური
You are lacking in conficence.,შენ გაკლია თავდაჯერებულობა.,
You lack confidence.,შენ გაკლია თავდაჯერებულობა.,
You have a lack of confidence.,შენ გაკლია თავდაჯერებულობა.,
be capable of sth.,იყო გამკეთებელი/წამსვლელი რამეზე,
splitting headache,ძლიერი თავის ტკივილი,
torrential rain,კოკისპირული წვიმა,
pouring rain,კოკისპირული წვიმა,
it's raining cats and dogs,კოკისპირული წვიმა,
escape,თავის დაღწევა,
What are you doing now? - Nothing in particular.,ახლა რას აკეთებ? - კონკრეტულად არაფერს.,
work of art,ხელოვნების ნიმუში,
Give me a sec!,ერთი წამი მომეცი.,
in comparison with,რაღაცასთან შედარებით,
both Tbilisi and Batumi,თბილისიც და ბათუმიც,
"Not only Tbilisi, but also Batumi","არა მარტო თბილისი, არამედ ბათუმიც",
remuneration,ანაზღაურება,
fund,"ფონდი, ფული",
International Monetary Fund (IMF),საერთაშორისო სავალუტო ფონდი.,
"Once bitten, twice shy.",როცა ერთხელ წარუმატებლობის გამო მეორედაც ფრთხილობ ან გეშინია.,
highly confusing,ძალიან დამაბნეველი,
highly recommend,მაღალი რეკომენდაციის გაწევა,
A picture is worth a thousand words.,ბევრჯერ გაგონილს ერთხელ ნანახი სჯობია.,
strong criticism,დიდი კრიტიკა,
fierce criticism,დიდი კრიტიკა,
widespread criticism,დიდი კრიტიკა,
fierce wind,ძლიერი ქარი,
fierce competition,დიდი კონკურენცია,
adventurous,თავგადასავლების მოყვარული/სათავგადასავლო,
adventure seeker,თავგადასავლების მაძიებელი,
have a narrow escape,ბეწვზე გადარჩენა,
Give me a brief summary.,მომეცი მოკლე შეჯამება,
gale-force wind,ძალიან ძლიერი ქარი,
a familiar face,ნაცნობი სახე,
cut corners,ეძებო მოკლე გზები,
extensive damage,ძალიან დიდი ზარალი,
strong accent,ძლიერი აქცენტი,
great honor,დიდი პატივი,
be concerned about,ნერვიულობდე რამეზე,
be worried about,ნერვიულობდე რამეზე,
main concern,მთავარი სადარდებელი,
principal concern,მთავარი სადარდებელი,
film,"ფილმი, ფირი",
This will boost your self-confidence.,ეს გაზრდის შენს თავდაჯერებულობას.,
Express your emotions.,გამოხატე შენი ემოციები.,
stainless steel,უჟანგავი ფოლადი,
raw meet,უმი ხორცი,
field,მინდორი,დათესილი
seldom,იშვიათად,
rarely,იშვიათად,
occasionally,იშვიათად,
during pregnancy,ორსულობის პერიოდში,
narrator,მთხრობელი,
tale,მოთხრობა,
We have novelties this year.,ჩვენ სიახლეები გვაქვს ამ წელს.,
I watch lives even when I'm traveling.,"მე ვუყურებ ლაივებს მაშინაც კი, როცა ვმოგზაურობ.",
naive,გულუბრყვილო,
essential,უმნიშვნელოვანესი,
crucial,უმნიშვნელოვანესი,
Easier said than done.,სათქმელად ადვილია.,
"A friend in need, a friend indeed.",მეგობარი გასაჭირში უნდა გამოსცადო.,
give sb. a hand,დაეხმარო ვინმეს,
It's a piece of cake.,ადვილია გასაკეთებლად.,
eat like a bird,ცოტა ჭამო (ჩიტივით),
eat like a horse,ბევრი ჭამო (ღორივით),
It will cost you a fortune.,ძალიან ძვირი დაგიჯდება,
Such cars cost an arm and a leg.,ასეთი მანქანები ძალიან ძვირი ჯდება.,
Such cars cost the Earth.,ასეთი მანქანები ძალიან ძვირი ჯდება.,
grand opening,საზეიმო გახსნა,
loyalty card,დაგროვების ბარათი,
bully sb.,"დააბულინგო, დაჩაგრო ვინმე",
fruit and vegetables,ხილი და ბოსტნეული,
locally grown,ადგილობრივად მოყვანილი,
however,თუმცა,
"However good your English might be, you can still learn many new things from him.","რაც არ უნდა კარგი იყოს შენი ინგლისური, შენ მაინც შეგიძლია ისწავლო ბევრი ახალი რამ მისგან.",
complete silence,სრული სიჩუმე,
spectators,მაყურებელი,"დარბაზში, სტადიონზე"
viewers,მაყურებელი,ტელევიზორის
entitle sth.,დაასათაურო რამე,
bring sth. forward from Monday to Friday,გადმოწიო რამე ორშაბათიდან პარასკევისთვის.,
maintain,"შენახვა (შენობის, მანქანის)",
consumption,მოხმარება (ელ. ენერგიის),
consume,მოხმარება (ელ. ენერგიის),
out of curiosity,ცნობისმოყვარეობის გამო,
out of interest,ინტერესის გამო,
in writing,წერილობით,
paddle,ნიჩაბი,
hospitable,სტუმართმოყვარე,
testify,ჩვენება მისცე,
cause-and-effect,მიზეზ-შედეგობრივი,
bothersome,"თავის მომაბეზრებელი, შემაწუხებელი",
Sky is the limit.,ყველაფერი შესაძლებელია.,